image_idx,idx,local_description,instructions,mturk_idx
327,300994-output2,cat eating fire truck cake,add a cat eating the cake,51
959,297426-output2,"keyboard, mouse, and lizard with cellphone",add a cellphone,52
310,350054-output1,sports on TV,let there be sports on TV,53
96,294330-output1,home office with code on computer screens,let the computer screens have code,54
105,246924-input,cutting board with bell pepper,Remove the hand hairs.,55
165,323789-output1,work desk with world map on wall,let there be a world map on the wall,56
910,410366-input,Description cannot be provided as the edit instruction is unclear.,If it was a ball they are playing?,57
644,410152-input,person riding a bicycle next to train,put a person riding a bicycle next to the train,58
175,532482-input,red fire hydrant,Make the hydrant red.,59
284,478407-input,man biting into pizza,let the man bite into the pizza,60
145,475425-output1,floral dinner plate with soda can,remove the milk glass and put a soda can in place,61
506,108649-input,baseball cap and mitt,Remove the sunglasses.,62
348,47916-output2,White dog carrying a bone in its mouth next to a forest pond.,Could we have a pond next to the forest?,63
854,499733-input,man with futuristic glasses,Give the guy futuristic glasses.,64
808,173401-input,leaping cow in the grass,let the cow leap,65
508,108649-output2,action figure and wooden block,Place a small action figure next to the block.,66
118,348966-input,blue drinks and donuts on a picnic table,Make the drinks blue.,67
335,78468-output2,A tractor towing a trailer with a bear cub nearby.,Remove the bags from the trailer.,68
306,534555-input,Baseball player with number 15 hitting a ball with a bat.,Change the number on the batter's back to 15,69
764,401307-input,people on skis,Erase two of the people.,70
608,94751-input,lighthouse by the ocean parking lot,Add a lighthouse to the image,71
112,536595-input,red fire hydrant on the sidewalk,change the white and blue hydrant into red,72
878,280490-output1,pancakes and fries on table,Put some fries next to the pancakes.,73
661,151480-output1,Baseball players lined up in the outfield with a mascot in the stands.,line the player up in a line.,74
828,254004-input,crate being loaded onto a plane at the airport,turn the luggage into a crate,75
172,376990-output1,"hand holding a sandwich, girl wearing a helmet",Replace the girl's beanie with a helmet.,76
278,221213-output1,train with mountain backdrop,Have a mountain behind the train.,77
322,282238-input,traffic light hanging over a street next to a large tree.,If the was just one large tree?,78
5,385042-output1,fire hydrant on asphalt,Put the hydrant on asphalt.,79
362,163431-output1,bed with pillows,let the bed contain pillows,80
955,327702-output1,woman hand feeding tiger at zoo with a bag,let the woman feed a tiger,81
1027,573483-output2,monkey statue with owl next to bell on wall,An owl should be next to the monkey.,82
474,87135-output1,herd of sheep near road signs,let a herd of sheep walk near the road signs,83
3,368667-output2,supernova explosion in the sky,Add a supernova explosion in the sky,84
757,433334-output1,Couple at table,empty the man's plate,85
433,401822-output1,bowl on stove,add bowl on the stove,86
914,118209-output1,horses with saddles and shoes standing next to a fence,give the horses shoes,87
415,403028-input,kitchen with pizza on counter,Have there be a pizza on the counter,88
679,457572-output2,girl with blonde hair,let the girl have blonde hair,89
404,298318-input,galley boat crossing a lake with people on board,change the rubber boat into a galley,90
756,433334-input,angry man sitting at a table with a couple,make the man angry,91
709,276124-output2,curly ginger-haired baby,let the baby have curly ginger hair,92
857,415958-input,man looks around a very small kitchen.,Change the woman to a man.,93
167,278555-input,man with backpack holding a surfboard on rocks overlooking the ocean.,What if he was with a backpack?,94
184,328802-output2,thin and lanky zebra drinking from a bucket in a shady enclosure with lush green trees.,let the zebra be thin and lanky,95
881,329737-output2,A very old yellow keyboard computer with a blue webpage on a black background and a hamster.,replace the mouse with a hamster,96
783,115260-output1,pizza and soda,Put a glass of soda next to the tray.,97
101,393403-input,train traveling down a street.,change the bus into a train,98
564,255010-input,Two men with white hats sitting in a train.,Make the hats white.,99
